Business_ID,Business_Name,Business_Description,Industry_Type,Business_Type,Years_in_Operation,Credit_Score,State,District,Employees,Annual_Revenue_Year1,Annual_Revenue_Year2,Annual_Revenue_Year3,Assets_Year1,Assets_Year2,Assets_Year3,Loan_Amount_Year1,Loan_Amount_Year2,Loan_Amount_Year3,Growth_Rate (%),Eligible_Schemes,Scheme_Description,Historical_Scheme_Adoption
1,XYZ Enterprises,A growing IT services company specializing in cloud solutions.,Healthcare,Medium,34,753,Chhattisgarh,Indore,157,28095175.77,7597532.694,16871445.65,12282516.56,8370219.241,15811038.71,6054602.612,7831708.265,9360620.753,28.99074192,Scheme A,Subsidized loans for women entrepreneurs in the food industry.,Yes
2,ABC Pvt Ltd,A small manufacturing unit producing auto parts.,Tourism,Small,44,412,Uttar Pradesh,Jaipur,256,27523334.94,42757763.56,38827036.2,17064665.9,8867560.13,17469151.68,2494555.499,5259614.073,8341729.845,-3.28467404,Scheme D,Government-backed credit support for IT startups.,No
3,ABC Pvt Ltd,A small manufacturing unit producing auto parts.,Pharmaceuticals,Medium,7,837,Bihar,Nagpur,108,17390941.36,16973813.59,18277566.03,14447421.28,8763478.437,10115445.91,9008792.806,8539160.382,8790202.729,21.69408819,Scheme A,Subsidized loans for women entrepreneurs in the food industry.,No
4,ABC Pvt Ltd,A small manufacturing unit producing auto parts.,Manufacturing,Medium,3,850,Gujarat,Surat,292,19475867.5,29044892.15,21300157.14,2798253.57,818709.9527,18382652.54,7613300.547,7300741.081,455282.6352,-5.014000331,Scheme C,Tax benefits for small textile businesses.,Yes
5,ABC Pvt Ltd,An innovative food processing startup focusing on organic products.,Automobile,Small,26,598,Chhattisgarh,Nagpur,347,42562042.99,6917863.664,23749975.6,6241525.151,18185714.64,591824.7794,7502189.852,3667924.177,1455002.031,43.4226229,Scheme B,Tax benefits for small textile businesses.,Yes
6,XYZ Enterprises,A small manufacturing unit producing auto parts.,Healthcare,Micro,7,830,Bihar,Vadodara,256,30782527.12,878874.8512,41543755.61,8964121.555,8524451.901,5653435.788,7034889.981,1247421.78,1515925.91,40.8845004,Scheme D,Low-interest loans for MSMEs in the manufacturing sector.,Yes
7,PQR Services,A growing IT services company specializing in cloud solutions.,Retail,Small,44,589,Assam,Delhi,493,47710045.72,18123621.86,23878241.28,4504741.205,15648973.67,12708697.7,9147004.708,9750951.494,416802.975,27.18567975,Scheme B,Government-backed credit support for IT startups.,No
8,XYZ Enterprises,An innovative food processing startup focusing on organic products.,Food & Beverage,Micro,41,703,Telangana,Surat,77,12005807.95,7531737.629,27006967.83,6320193.641,16099258.06,5564591.205,292373.9728,3647421.713,6189109.304,13.53339353,Scheme A,Subsidized loans for women entrepreneurs in the food industry.,Yes
9,ABC Pvt Ltd,A growing IT services company specializing in cloud solutions.,Automobile,Micro,16,594,Goa,Ludhiana,180,7295958.775,42039656.54,12445400.26,10312131.56,11137870.48,16510591.28,8160483.821,8394777.252,2016079.76,21.75150225,Scheme B,Government-backed credit support for IT startups.,Yes
10,LMN Industries,An innovative food processing startup focusing on organic products.,Healthcare,Medium,32,491,Assam,Coimbatore,214,43241262.6,30528084.88,23272920.65,8286840.739,4352721.945,3378509.244,5947085.611,7355439.286,711941.6935,-6.765929012,Scheme A,Subsidized loans for women entrepreneurs in the food industry.,Yes
11,XYZ Enterprises,A small manufacturing unit producing auto parts.,Construction,Medium,27,815,Delhi,Chandigarh,178,46261177.71,11039740.18,48914364.48,17504695.37,16557684.74,5826682.892,9168727.004,1174833.162,1371064.685,20.06194028,Scheme D,Tax benefits for small textile businesses.,No
12,PQR Services,An innovative food processing startup focusing on organic products.,Manufacturing,Micro,3,378,Madhya Pradesh,Guwahati,175,13875399.15,3667080.596,5918765.398,4238636.569,2442381.148,9699304.345,6467580.807,1040252.618,8491933.407,40.55510545,Scheme D,Government-backed credit support for IT startups.,No
13,ABC Pvt Ltd,A small manufacturing unit producing auto parts.,Construction,Medium,24,550,Goa,Indore,450,46010645.32,20477082.56,32923029.7,16857129.93,15151524.17,11804322.72,4043620.896,4186148.824,131914.3962,32.48860512,Scheme C,Government-backed credit support for IT startups.,Yes
14,ABC Pvt Ltd,An innovative food processing startup focusing on organic products.,Retail,Medium,4,660,Karnataka,Chandigarh,37,38553186.28,9770855.392,2897646.308,15619466.16,14387699.63,10016357.43,1569739.738,7375754.941,8842723.693,20.42723642,Scheme A,Government-backed credit support for IT startups.,Yes
15,XYZ Enterprises,A growing IT services company specializing in cloud solutions.,Pharmaceuticals,Micro,26,862,Uttar Pradesh,Chennai,242,36941764.96,35806203.66,8176987.807,8681744.239,2780838.329,17479083.78,8221172.316,4371184.655,4037409.372,11.22044664,Scheme C,Subsidized loans for women entrepreneurs in the food industry.,No
